noticeIdentifier,noticeVersion,lotIdentifier,classificationType,mainClassificationCode,additionalClassificationCodes,options
172ae66a-09d6-41d6-aa39-f7a293f9a600,01,,cpv,45314000,,
172ae66a-09d6-41d6-aa39-f7a293f9a600,01,LOT-0000,cpv,45311200,,
f183c2f1-a1f6-4252-8ac6-5866d30c6ca4,01,,cpv,45000000,45324000,
f183c2f1-a1f6-4252-8ac6-5866d30c6ca4,01,LOT-0001,cpv,45000000,45324000,
38598773-63fb-48eb-b6aa-a255ff4040fa,01,,cpv,79960000,72000000,
38598773-63fb-48eb-b6aa-a255ff4040fa,01,LOT-0001,cpv,79960000,72000000,
3678614b-4cd2-4a0b-9d07-b3bf8b21c1cb,01,,cpv,45234100,,
3678614b-4cd2-4a0b-9d07-b3bf8b21c1cb,01,LOT-0001,cpv,45234100,,
08ecd73b-ffc2-45a7-8132-f92a89d11b94,01,,cpv,72000000,,
08ecd73b-ffc2-45a7-8132-f92a89d11b94,01,LOT-0000,cpv,72000000,,
c4745a16-5769-4144-a01f-0802676c2ac0,01,,cpv,80522000,,
c4745a16-5769-4144-a01f-0802676c2ac0,01,LOT-0001,cpv,80522000,,
de9b5ae4-c01d-4d0c-acfa-5a1de3ff16a4,01,,cpv,71317210,85147000,
de9b5ae4-c01d-4d0c-acfa-5a1de3ff16a4,01,LOT-0001,cpv,71317210,85147000,
9a8ae6f7-4ea4-4b56-a73e-05759cff10a9,01,,cpv,71300000,,
9a8ae6f7-4ea4-4b56-a73e-05759cff10a9,01,LOT-0001,cpv,71300000,,
9a8ae6f7-4ea4-4b56-a73e-05759cff10a9,01,LOT-0002,cpv,71300000,,
f6da07ed-feae-40a5-9eac-0aa287f95e78,01,,cpv,90000000,,
f6da07ed-feae-40a5-9eac-0aa287f95e78,01,LOT-0000,cpv,90000000,,
6f7f8e44-08f4-4d44-9904-cd2117e84eee,01,,cpv,71240000,71320000,
6f7f8e44-08f4-4d44-9904-cd2117e84eee,01,LOT-0001,cpv,71240000,71320000,
63de9706-6f8e-416b-9d0c-617396a34c87,01,,cpv,45432113,,
63de9706-6f8e-416b-9d0c-617396a34c87,01,LOT-0000,cpv,45432113,,
8014ade7-eefd-4ab9-b5aa-c3f0725bdf40,01,,cpv,71300000,,
8014ade7-eefd-4ab9-b5aa-c3f0725bdf40,01,LOT-0001,cpv,71300000,,
f77e1a90-902b-4f00-8bbc-42e977721d7f,01,,cpv,34114000,32344250,
f77e1a90-902b-4f00-8bbc-42e977721d7f,01,LOT-0001,cpv,34114000,32344250,
fb71ece0-27b2-42e6-8bcd-e8707b08ac24,01,,cpv,48180000,,
fb71ece0-27b2-42e6-8bcd-e8707b08ac24,01,LOT-0000,cpv,48180000,,
29c52430-b029-4424-8ca7-24374715bf58,01,,cpv,45000000,,
29c52430-b029-4424-8ca7-24374715bf58,01,LOT-0000,cpv,45000000,"45421000,45440000,45421145",
4b6da03a-87a6-453f-a25a-669cc405f290,01,,cpv,34144210,,
4b6da03a-87a6-453f-a25a-669cc405f290,01,LOT-0001,cpv,34144210,,
4b6da03a-87a6-453f-a25a-669cc405f290,01,LOT-0002,cpv,34144210,,
4ad66f02-72eb-45a0-95b6-68f73ee7e093,01,,cpv,71314000,,
4ad66f02-72eb-45a0-95b6-68f73ee7e093,01,LOT-0001,cpv,71314000,,
b7d8db51-786a-4c0a-9bb5-cf046d701d5b,01,,cpv,71300000,,
b7d8db51-786a-4c0a-9bb5-cf046d701d5b,01,LOT-0001,cpv,71300000,,
3416f20b-ef8f-4c6f-93f1-ccdaad7ed079,01,,cpv,90919300,"90911200,90911300",
