noticeIdentifier,noticeVersion,tenderIdentifier,lotIdentifier,tenderValue,tenderValueCurrency,tenderPaymentValue,tenderPaymentValueCurrency,tenderPenalties,tenderPenaltiesCurrency,tenderRank,concessionRevenueUser,concessionRevenueUserCurrency,concessionRevenueBuyer,concessionRevenueBuyerCurrency,countryOrigin
4e2efa0e-8630-465b-beb5-fe2dc2e116e2,01,TEN-0002,LOT-0003,34608.43,EUR,,,,,,,,,,
dc250dbf-39dc-4f59-b567-cfe9c7189181,01,TEN-0000,LOT-0000,170704.12,EUR,,,,,1,,,,,
af5ff21e-3c05-4f2c-bd6d-2946bfe9f899,01,TEN-0001,LOT-0000,,,,,,,,,,,,
f02e7748-2050-4ac4-a922-cb0f4439e986,01,TEN-0001,LOT-0000,,,,,,,,,,,,
aa0363f1-766e-40ce-956c-9969d649029b,01,TEN-0001,LOT-0001,77281.00,EUR,,,,,,,,,,
01a0a386-93b5-4920-903f-b03532554f28,01,TEN-0001,LOT-1230,5128,EUR,,,,,,,,,,
01a0a386-93b5-4920-903f-b03532554f28,01,TEN-0002,LOT-0930,92650,EUR,,,,,,,,,,
01a0a386-93b5-4920-903f-b03532554f28,01,TEN-0003,LOT-1130,25171,EUR,,,,,,,,,,
01a0a386-93b5-4920-903f-b03532554f28,01,TEN-0004,LOT-1330,17672,EUR,,,,,,,,,,
0438fc4d-f4e0-43f1-8124-783654473a06,01,TEN-0001,LOT-0001,1.00,EUR,,,,,,,,,,
4f3f43c4-b21a-4fe6-b95f-a02bcfaec978,01,TEN-0001,LOT-0000,604226.60,EUR,,,,,1,,,,,
f142e565-038d-4c70-b79f-92083cfea0c8,01,TEN-0001,LOT-0000,,,,,,,1,,,,,
0e4c6765-b27b-4e7e-9cb1-a4cb71f87e03,01,TEN-0001,LOT-0000,1634073.01,EUR,,,,,1,,,,,
31c84d33-8204-4aeb-9bdc-6b03fe02d7b6,01,TEN-0000,LOT-0000,0,EUR,,,,,,,,,,
3b65793d-c78d-42bc-b654-1eac5dccdd27,01,TEN-0001,LOT-0001,,,,,,,,,,,,
3b65793d-c78d-42bc-b654-1eac5dccdd27,01,TEN-0002,LOT-0002,,,,,,,,,,,,
9f47389f-4ff8-4452-bb85-29dc3fdbcacb,01,TEN-0001,LOT-0000,2672929.23,EUR,,,,,,,,,,
975ec467-e4c0-41ee-93e8-9e85b58e3304,01,TEN-0001,LOT-0000,,,,,,,,,,,,
