noticeIdentifier,noticeVersion,noticeValue,noticeValueCurrency,noticeFrameworkValue,noticeFrameworkValueCurrency
2f19d346-0db3-412c-b8a2-9dd0c007b0a8,01,,,,
6db5929d-a517-43ed-9fe9-fb670fd9e694,01,367054.23,EUR,,
7dbb6c22-daf6-4e56-946f-922a05548229,01,135198.00,EUR,,
ec83e767-8a08-4384-b1f9-7c970236efa0,01,1182620,EUR,,
6eed375a-5cb3-4ea3-8c0e-467f90e25ca1,01,,,,
80675cc9-565a-4b93-816d-55b5930a0bb8,01,2877431.00,EUR,,
79800511-1d4b-4ad3-8c60-fd255ab125b3,01,400395.98,EUR,,
d31e5a38-d43a-4547-8973-c3590bacd62e,01,213676.50,EUR,,
b64ce675-d41d-4740-be94-e6472a525ea9,01,0,EUR,,
ad9eaa7a-3247-485c-859d-ec19a1263c6b,01,,,9388.52,EUR
830c6da5-b6b1-4631-a98e-1f52d628be32,01,165469,EUR,,
6726f720-afb1-4713-9d79-16afcdf8bc54,01,,,,
bf0fdfde-8f62-4b1a-a947-5a92338c95b6,01,344759.67,EUR,,
a7170bc7-df89-4c34-ad0c-377bea21c268,01,0,EUR,,
c92fe955-e074-45e2-b270-ab63af8a6e30,01,31631,EUR,,
ec07ce3b-6024-4d6e-b732-6f5218b332b4,02,0,EUR,,
2e39367e-8a41-4431-a32e-ad0a284f236e,02,,,,
c3c3c991-ddef-4be9-8019-79e0977619b1,01,728018.15,EUR,,
8a5794f3-558e-4156-86a7-1950acb1d1e6,01,1,EUR,,
ac66cbd7-4e75-4d04-a276-96c26831c4b1,01,0,EUR,,
01a0a4d3-42d3-44f0-b13d-d8b56e99fc69,01,,,,
25827232,1,,,,
25827236,1,,,,
25827200,1,,,,
25825584,1,,,,
25823484,1,,,,
25823480,1,,,,
25823108,1,,,,
25823788,1,,,,
25825632,1,,,,
25826970,1,,,,
25825828,1,,,,
25823330,1,,,,
25823512,1,,,,
25825780,1,,,,
25825576,1,,,,
25823666,1,,,,
25823322,1,,,,
25823318,1,,,,
25826962,1,,,,
25826966,1,,,,
25823100,1,,,,
25823096,1,,,,
25826958,1,,,,
25823092,1,,,,
25823088,1,,,,
25823080,1,,,,
25823662,1,,,,
25823658,1,,,,
25823314,1,,,,
25823068,1,,,,
25822812,1,,,,
25823504,1,,,,
25823302,1,,,,
25827112,1,,,,
25825590,1,,,,
25823298,1,,,,
25823134,1,,,,
25823064,1,,,,
25823290,1,,,,
25826938,1,,,,
25823286,1,,,,
25823500,1,,,,
25823278,1,,,,
25826934,1,,,,
25823274,1,,,,
25823496,1,,,,
25826930,1,,,,
25825320,1,,,,
25823270,1,,,,
25822588,1,,,,
25825488,1,,,,
25827152,1,,,,
25825312,1,,,,
25823258,1,,,,
25827108,1,,,,
25825598,1,,,,
25822572,1,,,,
25826902,1,,,,
25825764,1,,,,
25827080,1,,,,
25827088,1,,,,
25823760,1,,,,
25827096,1,,,,
25822982,1,,,,
25825714,1,,,,
25826898,1,,,,
25825710,1,,,,
25825760,1,,,,
25827092,1,,,,
25826890,1,,,,
25825450,1,,,,
25827100,1,,,,
25827104,1,,,,
25825520,1,,,,
25822984,1,,,,
25825678,1,,,,
25822648,1,,,,
25823414,1,,,,
25826882,1,,,,
25822556,1,,,,
25826878,1,,,,
25823036,1,,,,
25823740,1,,,,
25823744,1,,,,
25825594,1,,,,
25823736,1,,,,
25825756,1,,,,
25825276,1,,,,
25822692,1,,,,
25822636,1,,,,
25823720,1,,,,
25823222,1,,,,
982091ec-4912-4b1c-b56b-828bf784f3ab,1,,,,
5ad18efd-468c-4e58-9ba9-061739e2d9d0,1,,,,
25827498,1,,,,
25827358,1,,,,
25827270,1,,,,
25827266,1,,,,
25827262,1,,,,
