noticeIdentifier,noticeVersion,lotIdentifier,procedureLotResultNumber,winnerChosen,notAwardedReason,frameworkMaximumValue,frameworkMaximumValueCurrency,frameworkEstimatedValue,frameworkEstimatedValueCurrency,tenderValueLowest,tenderValueLowestCurrency,tenderValueHighest,tenderValueHighestCurrency
49d4a12a-7b77-437a-a031-1d1260b427a4,01,LOT-0001,0,selec-w,,,,,,1,EUR,1,EUR
49272a08-0469-437d-bf1f-ba641417f443,01,LOT-0000,0,selec-w,,,,,,,,,
20176d84-f18c-4068-b17c-d013cf0cfe0f,01,LOT-0000,0,selec-w,,,,,,,,,
eeb9ef5a-0b01-43d5-8496-53b81772b15d,01,LOT-0001,0,selec-w,,,,,,,,,
eeb9ef5a-0b01-43d5-8496-53b81772b15d,01,LOT-0002,1,selec-w,,,,,,,,,
e4f3839a-4932-42c0-9b85-f1745d43c9c6,01,LOT-0000,0,clos-nw,no-rece,,,,,,,,
9ad7cb70-56ac-4e93-ad85-e249a639d263,01,LOT-0000,0,selec-w,,,,,,,,,
2a892d69-436e-4ab9-b235-22191b2a0817,01,LOT-0001,0,selec-w,,,,,,,,,
0a1d2ce8-8ee7-4d56-a411-9ddfdfcad7f9,01,LOT-0000,0,selec-w,,,,,,,,,
a9485f5f-9d7f-4d89-b14e-948fc88864b9,01,LOT-0001,0,,,,,,,,,,
38cb1b71-db55-447b-9dcf-7928fa9b9652,01,LOT-0001,0,selec-w,,,,,,,,,
38cb1b71-db55-447b-9dcf-7928fa9b9652,01,LOT-0002,1,selec-w,,,,,,,,,
38cb1b71-db55-447b-9dcf-7928fa9b9652,01,LOT-0003,2,selec-w,,,,,,,,,
bba1b515-3a6b-4be6-9618-db66267d5f72,01,LOT-0000,0,selec-w,,,,,,,,,
2063f8a7-8d9a-4395-9834-8ab5d4a62d1d,01,LOT-0000,0,selec-w,,,,,,,,,
5d6248d2-bbeb-4359-8df1-2c2b5dfe2de7,01,LOT-0000,0,selec-w,,,,,,,,,
f1f7f1b8-2e26-45ae-bb75-30766d4f2c89,01,LOT-0000,0,selec-w,,,,,,,,,
f964782e-bf72-4c36-bf5f-035b9b1ed8f3,01,LOT-0000,0,selec-w,,,,,,,,,
c937ed17-050d-4d82-a8c8-4c8f5e7b1f9e,01,LOT-0001,0,selec-w,,,,,,,,,
c937ed17-050d-4d82-a8c8-4c8f5e7b1f9e,01,LOT-0002,1,selec-w,,,,,,,,,
0b0cee46-7028-48a3-ab93-706252419a34,01,LOT-0001,0,selec-w,,,,,,1,EUR,1,EUR
abae6b4a-5a2e-4a62-a6e8-61a0d99ac0f0,01,LOT-0000,0,selec-w,,,,,,,,,
eb6cb358-277f-463a-a7b6-10419bb6b2b5,01,LOT-0001,0,selec-w,,,,,,,,,
ba79a82e-ba20-40d5-a701-698daf07eeb9,01,LOT-0000,0,selec-w,,,,,,,,,
892cd313-409d-4d28-89fb-e9c5c15b141b,01,LOT-0000,0,,,,,,,,,,
e4219d9f-af23-4f38-8d05-842a51bb2395,01,LOT-0000,0,selec-w,,,,,,,,,
7cba3224-ed9b-4557-912a-b89e03238035,01,LOT-0001,0,selec-w,,,,,,,,,
7cba3224-ed9b-4557-912a-b89e03238035,01,LOT-0002,1,selec-w,,,,,,,,,
ead3b499-cf64-4888-823d-7737ad787045,01,LOT-0000,0,selec-w,,,,,,,,,
9b92da70-5f05-4da6-8f36-63c00ccc4bfd,01,LOT-0001,0,selec-w,,0,EUR,,,,,,
7bbe3e4a-e8f3-4ce7-8fac-f9899a31ebc0,01,LOT-0001,0,selec-w,,,,,,396610.01,EUR,536575.40,EUR
415228ba-c998-4c5b-a88e-4badc9d2e4dc,01,LOT-0000,0,selec-w,,,,,,,,,
01a0a3dd-0de3-4c82-9bff-894ee83e347d,01,LOT-0001,0,selec-w,,,,,,,,,
a673c7df-5a09-4230-a1f0-8c32c383c6a7,01,LOT-0001,0,,,,,,,,,,
63ced94b-e3ff-42f0-9b7c-b0a68e642465,01,LOT-0001,0,selec-w,,1800000.00,EUR,1250000.00,EUR,,,,
4e2efa0e-8630-465b-beb5-fe2dc2e116e2,01,LOT-0001,0,selec-w,,,,,,,,,
4e2efa0e-8630-465b-beb5-fe2dc2e116e2,01,LOT-0002,1,selec-w,,,,,,,,,
4e2efa0e-8630-465b-beb5-fe2dc2e116e2,01,LOT-0003,2,selec-w,,,,,,,,,
dc250dbf-39dc-4f59-b567-cfe9c7189181,01,LOT-0000,0,selec-w,,,,,,,,,
af5ff21e-3c05-4f2c-bd6d-2946bfe9f899,01,LOT-0000,0,selec-w,,,,,,,,,
f02e7748-2050-4ac4-a922-cb0f4439e986,01,LOT-0000,0,selec-w,,,,,,,,,
