noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
a963e896-11ba-49ba-b2e8-8717d30a7a31,01,LOT-0000,München,80937,DE212,DEU
4d11e71f-98dd-451f-b082-d5af534b3236,01,,Wirges,56422,DEB1B,DEU
4d11e71f-98dd-451f-b082-d5af534b3236,01,LOT-0001,Wirges,56422,DEB1B,DEU
93613bd8-3bcd-4118-bbce-f56adce48bb4,01,,Offenbach Am Main,63075,DE713,DEU
93613bd8-3bcd-4118-bbce-f56adce48bb4,01,LOT-0000,Offenbach Am Main,63075,DE713,DEU
5bace31b-17d6-4672-a429-62870fd8e5a5,01,,Münchberg,95213,DE249,DEU
5bace31b-17d6-4672-a429-62870fd8e5a5,01,LOT-0001,Münchberg,95213,DE249,DEU
5bace31b-17d6-4672-a429-62870fd8e5a5,01,LOT-0002,Münchberg,95213,DE249,DEU
5bace31b-17d6-4672-a429-62870fd8e5a5,01,LOT-0003,Münchberg,95213,DE249,DEU
5bace31b-17d6-4672-a429-62870fd8e5a5,01,LOT-0004,Münchberg,95213,DE249,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0001,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0002,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0003,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0004,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0005,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0006,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0007,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0008,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0009,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0010,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0011,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0012,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0013,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0014,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0015,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0016,,,,DEU
b6d328f5-cd55-4d41-9421-3734043c6787,01,LOT-0017,,,,DEU
