noticeIdentifier,noticeVersion,organisationName,organisationIdentifier,organisationCity,organisationPostCode,organisationCountrySubdivision,organisationCountryCode,organisationInternetAddress,organisationNaturalPerson,organisationRole,buyerProfileURL,buyerLegalType,buyerContractingEntity,winnerSize,winnerOwnerNationality,winnerListed
80a70f68-a454-456f-b5ea-c7d81027ef8b,01,Regierung von Oberbayern - Vergabekammer Südbayern,t:08921762411,München,80538,DE212,DEU,,,reviewer,,,,,,
80a70f68-a454-456f-b5ea-c7d81027ef8b,01,SG 1.51 Hochbau und Bildung,t:086158440,Traunstein,83278,DE21M,DEU,https://traunstein.bayern,,serv-prov,,,,,,
80a70f68-a454-456f-b5ea-c7d81027ef8b,01,Chiemgau Invest,t:086158440,Traunstein,83278,DE21M,DEU,https://traunstein.bayern,,buyer,https://www.traunstein.bayern,anst-oer-kommun,,,,
bef6cc00-924a-4e51-a18e-0439bd51379d,01,Stadt Karlsruhe Hauptamt,Leitweg-ID DE143589000,Karlsruhe,76133,DE122,DEU,https://www.karlsruhe.de,,buyer,,koerp-oer-kommun,,,,
bef6cc00-924a-4e51-a18e-0439bd51379d,01,Vergabekammer Baden-Württemberg beim Regierungspräsidium Karlsruhe,ID-Nr.: 08-A9866-40,Karlsruhe,76131,DE122,DEU,https://rp.baden-wuerttemberg.de/rpk/abt1/ref15/,,reviewer,,,,,,
bef6cc00-924a-4e51-a18e-0439bd51379d,01,Kohrmann Baumaschinen GmbH,DE815773497,Bühl,77815,DE124,DEU,,,tenderer,,,,large,,
bef6cc00-924a-4e51-a18e-0439bd51379d,01,Knoblauch GmbH,DE813258226,Immendingen,78194,DE137,DEU,,,tenderer,,,,micro,,
a1ee4560-73ee-44ca-879c-b81b4a3e500b,01,Stadt Marktheidenfeld,9759,Marktheidenfeld,97828,DE26A,DEU,https://www.marktheidenfeld.de,,buyer,https://www.deutsche-evergabe.de,kommun-beh,,,,
a1ee4560-73ee-44ca-879c-b81b4a3e500b,01,Vergabekammer Nordbayern bei der Regierung von Mittelfranken,214c10d1-7b2f-423c-8a8f-2e1f50e031d8,Ansbach,91522,DE251,DEU,,,reviewer,,,,,,
e336f93b-93c1-488d-ab33-497cd88996cf,01,MVA Weisweiler GmbH & Co. KG,Berichtseinheit-ID 00014275,Eschweiler,52249,DEA2D,DEU,https://www.mva-weisweiler.de,,buyer,,,,,,
e336f93b-93c1-488d-ab33-497cd88996cf,01,Vergabekammer Westfalen,05515-03004-07,Münster,48147,DEA33,DEU,,,reviewer,,,,,,
deebdf92-64cc-4802-981c-de0c3eef80e2,01,HOWOGE Wohnungsbaugesellschaft mbH,HOWOGE Wohnungsbaugesellschaft mbH,Berlin,10365,DE300,DEU,https://howoge.de,,serv-prov,https://www.howoge.de,pub-undert,True,,,
deebdf92-64cc-4802-981c-de0c3eef80e2,01,Vergabekammer des Landes Berlin,VK,Berlin,10825,DE300,DEU,https://www.berlin.de/sen/wirtschaft/wirtschaftsrecht/vergabekammer/,,reviewer,,,,,,
975a9fd6-729e-45a6-b6e0-5042d1b52752,01,Friedrich-Ebert-Krankenhaus Neumünster GmbH,t:043214051040,Kiel,24534,DEF04,DEU,www.friedrich-ebert-krankenhaus.de,,buyer,,pub-undert,,,,
907f675f-60c4-4f5c-a630-1b14f3ce81f7,01,Niersverband,Leitweg-ID 051660032032-31003-25,Viersen,41747,DEA1E,DEU,https://www.niersverband.de,,buyer,,koerp-oer-land,,,,
907f675f-60c4-4f5c-a630-1b14f3ce81f7,01,Vergabekammer Rheinland c/o Bezirksregierung Köln,UST-IdNr:DE812110859,Köln,50667,DEA23,DEU,https://www.bezreg-koeln.nrw.de,,reviewer,,,,,,
6a370408-13db-4e37-84b8-9a80e96a5610,01,ITSG - Informationstechnische Servicestelle der gesetzlichen Krankenversicherung GmbH,DE199033267,Offenbach,63067,DE713,DEU,http://www.itsg.de,,buyer,,pub-undert,,,,
6a370408-13db-4e37-84b8-9a80e96a5610,01,spectrumK GmbH,591103701,Berlin,10249,DE300,DEU,http://www.spectrumk.de,,,,,,,,
