noticeIdentifier,noticeVersion,lotIdentifier,suitableForSMEs
ed0a655f-db5b-484a-9441-0a84ea90eb6c,01,LOT-0002,
41a21091-13a1-4673-a9eb-5fa733cadcc1,01,LOT-0001,True
41a21091-13a1-4673-a9eb-5fa733cadcc1,01,LOT-0002,True
41a21091-13a1-4673-a9eb-5fa733cadcc1,01,LOT-0003,True
41a21091-13a1-4673-a9eb-5fa733cadcc1,01,LOT-0004,True
41a21091-13a1-4673-a9eb-5fa733cadcc1,01,LOT-0005,True
41a21091-13a1-4673-a9eb-5fa733cadcc1,01,LOT-0006,True
e4037a44-d382-4130-95c5-b24bacec472a,01,LOT-0000,False
0991a754-c9fb-47f7-841c-63d3e0dbf409,01,LOT-0000,True
4c566805-3ed7-43b2-8ce1-71ad7da16729,01,LOT-0000,
9064fef8-44a9-45f0-8afc-b6f1dc65cac4,01,LOT-0000,False
a5c274cd-00ec-4f70-9018-5d0604857d3f,01,LOT-0001,False
a5c274cd-00ec-4f70-9018-5d0604857d3f,01,LOT-0002,False
403a86dd-da15-41c7-934d-8cb2d71dfc0e,01,LOT-0000,
3f142d74-b342-4a09-8751-0e24d8730a44,01,LOT-0001,False
3f142d74-b342-4a09-8751-0e24d8730a44,01,LOT-0002,False
3f142d74-b342-4a09-8751-0e24d8730a44,01,LOT-0003,False
3f142d74-b342-4a09-8751-0e24d8730a44,01,LOT-0004,False
3f142d74-b342-4a09-8751-0e24d8730a44,01,LOT-0005,False
3f142d74-b342-4a09-8751-0e24d8730a44,01,LOT-0006,False
1ae6335f-2b2f-4554-abf4-993aa797aea1,01,LOT-0001,True
01a3c317-3099-4370-8c57-b8578c02eec7,01,LOT-0001,
d5ddbef6-2140-4c2a-8864-c07abe57cb37,01,LOT-0001,
d5ddbef6-2140-4c2a-8864-c07abe57cb37,01,LOT-0002,
e4e39e7b-6fec-4f52-b6a0-57445932f388,01,LOT-0001,
e4e39e7b-6fec-4f52-b6a0-57445932f388,01,LOT-0002,
e4e39e7b-6fec-4f52-b6a0-57445932f388,01,LOT-0003,
531ef96a-411b-4e8d-9e60-ba326a97f149,01,LOT-0000,True
d3432434-d211-4b5e-a23f-82df491ed7e6,01,LOT-0000,False
a3beabad-c6af-4c42-804c-bbcc86f3b382,01,LOT-0001,False
b24c4956-df4a-4280-851f-1a21bc105482,01,LOT-0001,False
5024b561-9182-4174-8d54-bee71dd951b7,01,LOT-0001,
21d51fc0-d44e-49b6-994b-e6a9ecc383cd,01,LOT-0001,True
df00f846-986d-43e7-ad47-14eaf79dc6fc,01,LOT-0001,True
79c1dce7-77d6-41e7-9836-2f9005e66ae3,01,LOT-0001,
79c1dce7-77d6-41e7-9836-2f9005e66ae3,01,LOT-0002,
79c1dce7-77d6-41e7-9836-2f9005e66ae3,01,LOT-0003,
9019b0c5-b6a7-40dc-9662-3f3615c31234,01,LOT-0001,
9019b0c5-b6a7-40dc-9662-3f3615c31234,01,LOT-0002,
9019b0c5-b6a7-40dc-9662-3f3615c31234,01,LOT-0003,
eb0d1ca3-431e-4780-896b-0e67b20290a0,01,LOT-0001,True
f3dbf992-f72d-453e-91fa-e4875a88efd7,01,LOT-0001,
697d148e-d366-4d4c-a115-5476bbf2f0ac,01,LOT-0001,
28dac269-fd17-419e-afc3-18b5e18ac138,01,LOT-0001,
e3ca66ee-8c29-4425-ae6d-250aeb67f87a,01,LOT-0001,False
50e20b67-265d-4b6d-a1cc-a2c8cab29bd0,01,LOT-0001,False
19472414-7e91-4b88-ac14-f8a29741a6f5,01,LOT-0001,
8d9ec30c-94f5-42b1-8ed0-44602bf43431,01,LOT-0001,True
c2602d20-d12b-49c1-97bb-ab127e523c19,01,LOT-0001,True
c804d707-ce16-4d9e-a0ff-1fc1acf61105,01,LOT-0001,
b49f51c2-db9f-42aa-ba47-8275f2b947ab,01,LOT-0000,True
1077025c-9104-45b0-8184-c7b1e3d129a7,01,LOT-0000,False
499397aa-ef0e-4e1b-abc0-fc43d36f22b4,01,LOT-0000,True
7b8f6aaa-7500-4a2b-8907-776408f3a189,01,LOT-0001,
ff280699-9dcb-44bd-9cc0-5be2fb8bc31d,01,LOT-0001,
63841dbe-939a-4d6b-a36e-3bb9f4a67060,01,LOT-0000,False
f0460a11-fd44-40db-82c9-78fb4582a636,01,LOT-0001,False
53e57289-7224-4e7c-b80e-e70c3eafd7ec,01,LOT-0000,True
36bf9a8d-d13a-42dc-92b3-0e5e314a39a6,01,LOT-0001,True
36bf9a8d-d13a-42dc-92b3-0e5e314a39a6,01,LOT-0002,True
36bf9a8d-d13a-42dc-92b3-0e5e314a39a6,01,LOT-0003,True
03ddf5d7-0650-411f-a1ac-d0fca9374811,01,LOT-0001,False
93fe2072-3b93-4cfb-a11e-5e9a8297a9ee,01,LOT-0001,False
93fe2072-3b93-4cfb-a11e-5e9a8297a9ee,01,LOT-0002,False
93fe2072-3b93-4cfb-a11e-5e9a8297a9ee,01,LOT-0003,False
93fe2072-3b93-4cfb-a11e-5e9a8297a9ee,01,LOT-0004,False
93fe2072-3b93-4cfb-a11e-5e9a8297a9ee,01,LOT-0005,False
80b2687f-449b-49f2-b1e5-b2b8d7ea7196,01,LOT-0001,False
87865198-cdf9-4dd6-bd2d-f1e92723c465,01,LOT-0001,
